 Ano; Código da Área; Área de Avaliação; Código da IES; Nome da IES; Sigla da IES; Organização Acadêmica; Categoria Administrativa; Código do Curso; Modalidade de Ensino; Código do Município; Município do Curso; Sigla da UF; Nº de Concluintes Inscritos; Nº de Concluintes Participantes; Nota Bruta - FG; Nota Padronizada - FG; Nota Bruta - CE; Nota Padronizada - CE; Conceito Enade (Contínuo); Concluintes participantes com nota no Enem; Proporção de concluintes participantes com nota no Enem; Nota Bruta - IDD; Nota Padronizada - IDD; Nota Bruta – Organização Didático-Pedagógica; Nota Padronizada - Organização Didático-Pedagógica; Nota Bruta – Infraestrutura e Instalações Físicas; Nota Padronizada - Infraestrutura e Instalações Físicas; Nota Bruta – Oportunidade de Ampliação da Formação; Nota Padronizada - Oportunidade de Ampliação da Formação; Nota Bruta - Mestres; Nota Padronizada - Mestres; Nota Bruta - Doutores; Nota Padronizada - Doutores; Nota Bruta – Regime de Trabalho; Nota Padronizada - Regime de Trabalho; CPC (Contínuo); CPC (Faixa);Observação
2019;36;FISIOTERAPIA;2056;FACULDADE DA ALTA PAULISTA;FAP;Faculdade;Privada com fins lucrativos;59745;Educação Presencial;3555000;Tupã;SP;46;45;25,942;0,472;28,742;0,821;0,733;40;0,888;-0,419;2,328;5,464;2,968;5,335;3,286;5,014;3,34;0,692;1,923;0,384;1,923;0,769;3,241;2,108;3;
2019;36;FISIOTERAPIA;2067;FACULDADE DE CIÊNCIAS E EMPREENDEDORISMO;FACEMP;Faculdade;Privada com fins lucrativos;1260089;Educação Presencial;2928703;Santo Antônio de Jesus;BA;72;67;44,094;3,177;35,628;1,9536;2,259;62;0,925;0,113;2,64;5,437;2,868;4,96;2,32;4,221;2,004;0,884;3,846;0,346;1,73;1;5;2,68;3;
2019;36;FISIOTERAPIA;2076;CENTRO UNIVERSITÁRIO UNIRB;UNIRB;Centro Universitário;Privada com fins lucrativos;85734;Educação Presencial;2927408;Salvador;BA;18;18;31,216;1,258;27,083;0,5482;0,725;15;0,833;-2,075;1,356;5,893;4,597;5,259;3,091;5,398;3,986;1;5;0,8;4;1;5;2,568;3;
2019;36;FISIOTERAPIA;2086;INSTITUTO DE ENSINO SUPERIOR DE FOZ DO IGUAÇU;IESFI;Faculdade;Privada com fins lucrativos;59140;Educação Presencial;4108304;Foz do Iguaçu;PR;1;0;;;;;;;;;;;;;;;;0,307;0;0,153;0,769;0,769;3,241;SC;SC;
2019;36;FISIOTERAPIA;2111;CENTRO UNIVERSITÁRIO INTA;UNINTA;Centro Universitário;Privada sem fins lucrativos;108688;Educação Presencial;2312908;Sobral;CE;127;119;31,453;1,293;34,426;1,756;1,64;106;0,89;-0,203;2,455;5,4;2,726;5,405;3,466;4,981;3,284;1;5;0,55;2,75;1;5;2,809;3;
2019;36;FISIOTERAPIA;2122;CENTRO UNIVERSITÁRIO ESTÁCIO DE SERGIPE;;Centro Universitário;Privada com fins lucrativos;107658;Educação Presencial;2800308;Aracaju;SE;188;167;30,923;1,214;34,452;1,7603;1,623;147;0,88;-0,136;2,495;5,218;2,038;4,907;2,183;4,374;2,263;1;5;0,833;4,166;1;5;2,891;3;
2019;36;FISIOTERAPIA;2123;CENTRO UNIVERSITÁRIO MAX PLANCK;UniMAX;Centro Universitário;Privada com fins lucrativos;1193670;Educação Presencial;3520509;Indaiatuba;SP;21;21;37,909;2,255;35,923;2,0022;2,065;5;0,238;-0,459;2,305;5,808;4,273;5,714;4,263;5,405;3,998;0,75;2,5;0,4;2;0,6;1,952;2,487;3;
2019;36;FISIOTERAPIA;2132;CENTRO UNIVERSITÁRIO UNINORTE;;Centro Universitário;Privada com fins lucrativos;98059;Educação Presencial;1200401;Rio Branco;AC;68;60;38,784;2,386;36,786;2,1441;2,204;57;0,949;0,005;2,577;5,729;3,975;5,757;4,374;5,084;3,458;1;5;0,642;3,214;1;5;3,178;4;
2019;36;FISIOTERAPIA;2135;CENTRO UNIVERSITÁRIO CATÓLICA DE QUIXADÁ;UNICATÓLICA;Centro Universitário;Privada sem fins lucrativos;71597;Educação Presencial;2311306;Quixadá;CE;57;56;35,901;1,956;35,225;1,8873;1,904;55;0,982;-0,175;2,471;5,978;4,918;5,992;4,979;5,977;4,961;0,947;4,473;0,71;3,552;0,894;4,197;3,171;4;
2019;36;FISIOTERAPIA;2147;Centro Universitário CEUNI - FAMETRO;FAMETRO;Centro Universitário;Privada com fins lucrativos;98746;Educação Presencial;1302603;Manaus;AM;80;76;27,213;0,661;29,065;0,8743;0,821;47;0,618;-0,708;2,159;5,956;4,833;5,979;4,947;5,978;4,963;0,956;4,565;0,695;3,478;0,956;4,668;2,868;3;
